Club,Cohort,Checkpoint (week 0/4/8),Reporting date,Registrations,Week 0 completers,Assessments completed,Coach reviews completed,Next-programme sign-ups,Feedback responses,Feedback invited,Owner,Action notes
,,0,,,,,,,,,,
,,4,,,,,,,,,,
,,8,,,,,,,,,,
